"Date","FCR_mean_RDOsat_percent_9_adjusted","FCR_mean_EXOChla_ugL_1","FCR_mean_EXOfDOM_QSU_1","FCR_mean_EXOTemp_C_1","FCR_mean_schmidt_stability","BVR_mean_RDOsat_percent_13","BVR_mean_EXOChla_ugL_1.5","BVR_mean_EXOfDOM_QSU_1.5","BVR_mean_EXOTemp_C_1.5","BVR_mean_schmidt_stability","mean_ShortwaveRadiationUp_Average_W_m2","mean_AirTemp_C_Average","mean_WindSpeed_Average_m_s","sum_Rain_Total_mm"
2019-01-01,79.1934927083333,10.1852083402778,14.7713194444444,6.43698611111111,0.559055057813762,NA,NA,NA,NA,NA,41.812523611111,13.0855134277778,2.08490416666667,0
2019-01-02,78.3105010294118,9.19969696212121,14.5928787878788,6.50725757575758,0.49253806243233,NA,NA,NA,NA,NA,26.2050805555556,6.53955208333333,1.79163958333333,1.016
2019-01-03,77.4161370833333,9.4021126971831,14.5106338028169,6.42361971830986,0.352033419150868,NA,NA,NA,NA,NA,43.7605277777778,8.35387013888889,2.25062222222222,2.54
2019-01-04,76.0735842361111,11.4715277708333,14.4625694444444,6.31488888888889,0.251991419937876,NA,NA,NA,NA,NA,10.8758263888889,6.52505208333333,1.26764305555556,4.572
2019-01-05,76.0806098611111,10.0406992867133,14.3867832167832,6.33892307692308,0.211632422162976,NA,NA,NA,NA,NA,119.652538194444,9.08491618777778,2.57304722222222,1.016
2019-01-06,75.0365065972222,9.58680552777778,14.325,6.2695,0.0995774235672369,NA,NA,NA,NA,NA,53.4586138888892,9.52876524,2.24092986111111,0
2019-01-07,73.3661818055556,8.00069445138889,14.3956944444444,6.0955,0.0498674018136165,NA,NA,NA,NA,NA,57.2283159722224,5.84803472222222,1.97770416666667,0
2019-01-08,75.1273444444444,7.53584505633803,14.309014084507,6.01218309859155,0.0720254371981743,NA,NA,NA,NA,NA,104.009077777778,13.0647425444444,1.85372222222222,0
2019-01-09,80.1898384722222,6.96638890972222,14.1694444444444,5.98995833333333,0.0545807838979096,NA,NA,NA,NA,NA,137.910336805555,6.46695373888889,2.87510347222222,0
2019-01-10,84.163129375,7.37594404195804,13.8695104895105,5.4895034965035,0.0195374117853161,NA,NA,NA,NA,NA,123.432602777778,-2.93971666666667,4.9474125,0
2019-01-11,83.4287370833333,6.58368055555556,13.6799305555556,4.54177083333333,0.0180898976627053,NA,NA,NA,NA,NA,128.388575000001,0.435161417777775,3.19404861111111,0
2019-01-12,81.9085278472222,7.69867134965035,13.6717482517483,4.22809090909091,0.000464367472299096,NA,NA,NA,NA,NA,21.9026916666668,0.842899600000001,1.07645,0
2019-01-13,82.679213125,8.97836874468085,13.4244680851064,3.68833333333333,0.00939942581376089,NA,NA,NA,NA,NA,12.3106604166666,1.09323541666667,0.22800972222222,0
2019-01-14,81.0872883333333,8.860763875,13.2734027777778,3.43638888888889,0.0122474344899656,NA,NA,NA,NA,NA,34.2783159722223,2.78130416666667,0.499739583333332,7.61999999999999
2019-01-15,84.204694,8.24521432857143,13.1191428571429,3.45032857142857,-0.00119658221285977,NA,NA,NA,NA,NA,116.261340277778,4.51622125888889,2.75437569444444,3.556
2019-01-16,84.6825445833333,7.54859155633803,13.0480281690141,3.29085211267606,0.00144618595330797,NA,NA,NA,NA,NA,107.96600625,2.60839444444444,3.66945555555556,0
2019-01-17,83.3278269444444,8.50352113380282,12.9270422535211,3.27592957746479,0.0312697549888831,NA,NA,NA,NA,NA,22.3302902777778,0.514041666666667,1.703825,0
2019-01-18,84.0505408333333,8.37319445833333,12.7571527777778,3.42685416666667,0.00212520894276954,NA,NA,NA,NA,NA,82.8491541666669,5.17874305555555,1.73901388888889,2.032
2019-01-19,83.6874959722222,9.81124999305556,12.6768055555556,3.44627083333333,0.00538676380058433,NA,NA,NA,NA,NA,14.1946020833334,4.56048194444444,1.29540416666667,9.90599999999999
2019-01-20,85.3254834027778,8.92638886111111,12.5827083333333,3.54940277777778,0.00377776272774691,NA,NA,NA,NA,NA,138.430907638889,1.41584375,3.64850208333333,5.08
2019-01-21,84.5748774305556,7.59811191608392,12.7232167832168,2.43448951048951,0.15033121022011,NA,NA,NA,NA,NA,147.21534861111,-9.28963541666667,3.26737638888889,0
2019-01-22,82.085468125,7.48291664583333,12.6611805555556,1.93689583333333,0.302181165689999,NA,NA,NA,NA,NA,145.208613888888,-4.75975625,1.98758958333333,0
2019-01-23,78.3367034027778,9.59486113888889,12.5561805555556,2.3466875,0.185864501550769,NA,NA,NA,NA,NA,15.6399763888889,3.48850416666667,2.50175625,3.81
2019-01-24,78.6227061805556,9.1562676056338,12.3960563380282,2.66442253521127,0.0589517209165066,NA,NA,NA,NA,NA,109.656190277778,7.10538472222222,3.23091597222222,11.43
2019-01-25,84.1207775,7.81729166666667,12.2417361111111,2.77200694444444,0.0607555290999993,NA,NA,NA,NA,NA,150.100952083334,0.45864375,2.38265972222222,0
2019-01-26,83.8598173611111,7.80527777777778,12.2959722222222,2.46301388888889,0.258602068693347,NA,NA,NA,NA,NA,110.599769444444,-0.180068055555555,2.08844444444444,0
2019-01-27,83.9457420138889,9.22657341958042,12.1772027972028,2.43453146853147,0.294371965897056,NA,NA,NA,NA,NA,54.2291520833331,2.26093194444444,1.94364236111111,0
2019-01-28,81.5525522222222,8.5979021048951,12.0344755244755,2.84225874125874,0.149137465229839,NA,NA,NA,NA,NA,136.247842361112,3.18080555555556,1.77007916666667,0
